Launch Point, Capturing point, Data Path Delay, Number of cominational cells in data path
reg_pc_reg[12]/CK,cpuregs_reg[9][16]/D,0.349,11
reg_pc_reg[12]/CK,cpuregs_reg[4][16]/D,0.35,11
reg_pc_reg[12]/CK,cpuregs_reg[1][16]/D,0.35,11
reg_op1_reg[3]/CK,alu_out_q_reg[9]/D,0.378,13
reg_pc_reg[12]/CK,cpuregs_reg[5][16]/D,0.349,11
latched_stalu_reg/CK,reg_next_pc_reg[4]/D,0.405,14
reg_pc_reg[12]/CK,cpuregs_reg[25][23]/D,0.397,14
reg_pc_reg[12]/CK,cpuregs_reg[10][20]/D,0.4,14
reg_pc_reg[12]/CK,cpuregs_reg[8][16]/D,0.349,11
reg_pc_reg[12]/CK,cpuregs_reg[29][29]/D,0.402,13
reg_pc_reg[12]/CK,cpuregs_reg[8][26]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[6][20]/D,0.397,14
reg_pc_reg[12]/CK,cpuregs_reg[3][20]/D,0.397,14
reg_pc_reg[12]/CK,cpuregs_reg[28][29]/D,0.402,13
reg_pc_reg[12]/CK,cpuregs_reg[24][30]/D,0.397,13
cpu_state_reg[0]/CK,cpuregs_reg[2][8]/D,0.39,11
reg_pc_reg[8]/CK,cpuregs_reg[9][11]/D,0.33,7
reg_pc_reg[12]/CK,cpuregs_reg[25][30]/D,0.397,13
reg_pc_reg[7]/CK,reg_out_reg[15]/D,0.39,10
reg_pc_reg[8]/CK,cpuregs_reg[13][11]/D,0.33,7
decoded_imm_j_reg[11]/CK,reg_sh_reg[0]/D,0.384,13
reg_pc_reg[12]/CK,cpuregs_reg[4][20]/D,0.353,11
reg_pc_reg[12]/CK,cpuregs_reg[9][26]/D,0.392,12
reg_pc_reg[7]/CK,reg_out_reg[11]/D,0.384,10
reg_pc_reg[12]/CK,cpuregs_reg[13][26]/D,0.392,12
reg_pc_reg[7]/CK,reg_out_reg[9]/D,0.385,12
reg_pc_reg[12]/CK,cpuregs_reg[6][16]/D,0.391,13
reg_pc_reg[7]/CK,cpuregs_reg[25][10]/D,0.396,10
reg_pc_reg[8]/CK,cpuregs_reg[12][11]/D,0.329,7
reg_pc_reg[7]/CK,cpuregs_reg[19][10]/D,0.396,10
reg_pc_reg[12]/CK,cpuregs_reg[5][26]/D,0.392,12
reg_pc_reg[12]/CK,cpuregs_reg[1][26]/D,0.391,12
reg_pc_reg[7]/CK,cpuregs_reg[28][10]/D,0.396,10
mem_valid_reg/CK,decoded_rd_reg[3]/D,0.396,14
reg_op1_reg[3]/CK,alu_out_q_reg[5]/D,0.379,11
mem_valid_reg/CK,decoded_rd_reg[4]/D,0.396,14
reg_pc_reg[12]/CK,cpuregs_reg[6][26]/D,0.392,12
cpu_state_reg[0]/CK,cpuregs_reg[18][4]/D,0.4,11
reg_pc_reg[12]/CK,cpuregs_reg[4][26]/D,0.391,12
reg_pc_reg[12]/CK,cpuregs_reg[1][20]/D,0.352,11
cpu_state_reg[0]/CK,cpuregs_reg[22][10]/D,0.401,12
reg_pc_reg[7]/CK,cpuregs_reg[2][10]/D,0.393,10
reg_pc_reg[12]/CK,cpuregs_reg[21][18]/D,0.397,13
reg_pc_reg[12]/CK,cpuregs_reg[22][18]/D,0.397,13
cpu_state_reg[0]/CK,cpuregs_reg[6][8]/D,0.387,12
cpu_state_reg[0]/CK,cpuregs_reg[18][7]/D,0.405,12
mem_valid_reg/CK,decoded_rd_reg[2]/D,0.395,14
reg_pc_reg[7]/CK,cpuregs_reg[17][10]/D,0.344,8
decoded_imm_j_reg[4]/CK,reg_op2_reg[23]/D,0.383,11
reg_pc_reg[7]/CK,cpuregs_reg[31][10]/D,0.396,10
cpu_state_reg[0]/CK,cpuregs_reg[18][1]/D,0.4,11
reg_pc_reg[12]/CK,cpuregs_reg[2][20]/D,0.395,14
reg_pc_reg[7]/CK,reg_out_reg[10]/D,0.376,10
cpu_state_reg[0]/CK,cpuregs_reg[18][5]/D,0.399,11
reg_pc_reg[12]/CK,cpuregs_reg[27][26]/D,0.393,12
reg_pc_reg[12]/CK,cpuregs_reg[5][27]/D,0.396,11
reg_pc_reg[7]/CK,cpuregs_reg[15][10]/D,0.393,10
latched_rd_reg[0]/CK,cpuregs_reg[22][9]/D,0.398,12
cpu_state_reg[0]/CK,cpuregs_reg[18][3]/D,0.402,11
latched_rd_reg[0]/CK,cpuregs_reg[22][11]/D,0.398,12
cpu_state_reg[0]/CK,cpuregs_reg[18][6]/D,0.401,11
reg_pc_reg[7]/CK,cpuregs_reg[16][10]/D,0.344,8
